Date,Open,High,Low,Close,Volume
2025-02-25,464.61,467.015,451.9,459.86,836522
2025-02-26,455.77,465.04,455.69,457.81,583264
2025-02-27,457.33,460.085,440.58,441.03,705632
2025-02-28,442.01,442.6,423.82,437.11,1055328
2025-03-03,438.81,443.56,434.445,437.15,691041
2025-03-04,439.45,448.69,436.4,441.61,1063508
2025-03-05,438,447.41,429.265,437.23,892867
2025-03-06,433.34,439.41,427.54,429.03,661721
2025-03-07,429.03,434.39,420.84,430.12,654250
2025-03-10,430,447.44,430,436.48,996352
2025-03-11,439.81,439.87,426.51,426.69,880096
2025-03-12,426.655,428.805,412.21,412.4,838862
2025-03-13,411.17,422.72,404.6,406.29,723599
2025-03-14,409,418.86,409,415.3,645260
2025-03-17,415.89,424.49,414.72,422.36,568503
2025-03-18,420.98,425.81,417.84,419.52,463847
2025-03-19,418.52,423.9,417.08,422.15,463316
2025-03-20,421.33,425.6,418.99,420.62,537545
2025-03-21,415.435,421.95,411.28,420.99,706610
2025-03-24,424.51,430.155,420.73,423.6,616835
2025-03-25,422.52,424.28,414.39,417.66,877989
2025-03-26,418.28,420.21,415.805,417.71,760749
2025-03-27,419.18,424.165,417.04,422.54,998886
2025-03-28,422.54,423.81,415.215,415.87,470168
2025-03-31,416.58,421.8,411.59,419.95,926126
2025-04-01,417.47,427.09,415.05,418.57,518260
2025-04-02,414.35,427.21,413.05,426.25,532671
2025-04-03,417.41,417.93,407.07,410.76,948547
2025-04-04,404.48,405.81,393.5,393.73,1635667
2025-04-07,377.245,395.645,366.5001,378.99,1818086
2025-04-08,385.19,388.845,357.81,361.04,1489808
2025-04-09,356.98,398.73,356.14,397.1,2190310
2025-04-10,394.15,397.08,372.32,381.83,1274296
2025-04-11,381.49,392.58,375.055,390.94,1329119
2025-04-14,394,405.27,391.05,404.65,926704
2025-04-15,404.89,407.145,399.255,404.02,985151
2025-04-16,400.7,408.43,398.75,402.38,867600
2025-04-17,405.45,412.62,402.86,411.49,965481
2025-04-21,409.47,412.31,402.85,406.65,873031
2025-04-22,410.53,423.44,409.105,421.59,950064
2025-04-23,429.21,441.08,426.02,426.63,1091409
2025-04-24,429.03,441.87,424.48,440.98,746792
2025-04-25,438.63,440.5,432.08,437.44,939273
2025-04-28,435.53,440.255,427.7,433.99,909573
2025-04-29,433.69,439.01,429.11,436.97,718456
2025-04-30,436.38,440,428.09,432.65,1400331
2025-05-01,468.18,481.925,462.05,471.38,1397481
2025-05-02,478,483.91,466.57,471.9,1030921
2025-05-05,471.9,482.28,466.74,475.07,1208523
2025-05-06,470.42,479.72,465,473.71,890251
2025-05-07,473.71,488.49,471.74,486.61,667514
2025-05-08,487.14,495.56,485.405,489.98,865597
2025-05-09,490.315,493.77,487.3,491.7,668584
2025-05-12,500,509.84,498.53,509.53,692711
2025-05-13,508.96,512.72,504.2,509.13,558450
2025-05-14,507,510.72,503.715,509.42,552654
2025-05-15,508.08,513.33,505,511.99,469419
2025-05-16,514.05,518.41,509.07,518.1,524929
2025-05-19,511.83,521.73,508.5671,521.68,427589
2025-05-20,517.88,523.48,513.93,517.16,606896
2025-05-21,513.74,518.146,498.78,500.87,664595
2025-05-22,499.24,508.015,497.02,504.83,555054
2025-05-23,498,502.18,496.61,501.57,443607
2025-05-27,507.03,517.8,505.81,516.5,636636
2025-05-28,514.9,516.65,507.745,514.33,479144
2025-05-29,518.07,520,510.64,515.55,362425
2025-05-30,514.27,515.92,506.28,513.36,1221827
2025-06-02,508.72,514.85,504.56,514.8,501729
2025-06-03,513.55,526.36,510.99,525.83,608809
2025-06-04,526.32,530.73,524.71,524.86,503484
2025-06-05,524.86,526.45,520.945,522.21,453250
2025-06-06,525.58,526.21,522.28,524.91,265344
2025-06-09,523.4,525.615,513.535,518.6,328158
2025-06-10,519.41,525.93,517.44,525.93,402723
2025-06-11,526.31,528.3845,520.88,524.18,374127
2025-06-12,524.18,528.2,520.65,526.92,379343
2025-06-13,520.96,526.0918,519.0117,522.7,411465
2025-06-16,525.91,530.12,522.42,528.77,371840
2025-06-17,526.88,526.88,513.9185,520.59,430708
2025-06-18,518.62,524.7,515,519.85,590939
2025-06-20,519.85,525.18,517.14,523.92,1052500
2025-06-23,523.52,527.355,517.515,524.65,399879
2025-06-24,526,530.74,520.36,530.5,391007
2025-06-25,531.69,533.32,527.29,530.4,520491
2025-06-26,528.8,532.94,524.65,527.78,546601
2025-06-27,527.78,535.2,526.5,531.32,624765
2025-06-30,530.39,537.47,528.6601,536.34,471088
2025-07-01,533.88,546.388,529.51,542.65,631495
2025-07-02,541.48,546,538.7,542.71,380155
2025-07-03,539.02,548.54,537,547.01,339027
2025-07-07,546.46,549.52,540.68,545.56,448552
2025-07-08,544.33,548.01,536.55,538.835,485979
2025-07-09,541.505,543.565,533.9,540.64,435063
2025-07-10,540.42,548.53,538.19,541.09,290413
2025-07-11,538.92,538.92,527.88,533.37,348343
2025-07-14,530.705,535.625,529.51,531.42,323735
2025-07-15,531.74,532.77,525.57,526.66,389193
2025-07-16,517,521.27,506.91,520.57,471832
2025-07-17,518.6,521.52,516.0575,518.71,367726
2025-07-18,523.05,523.05,513.25,514.61,329563
2025-07-21,515.14,521.12,513.02,520.87,486818
2025-07-22,523.05,533.465,520.16,532,570113
2025-07-23,533.32,542,533.32,540.68,489035
2025-07-24,537.81,551.1,537.525,549.97,625362
2025-07-25,552.28,568.474,548.78,565.19,1071485
2025-07-28,563.13,570.36,560.435,566.5,613179
2025-07-29,568.9,575.35,567.04,573.07,887791
2025-07-30,573.8,579.47,567.99,572.09,704912
2025-07-31,562.57,562.57,533.42,534.31,1033234
2025-08-01,530.38,539.11,527.81,535.54,760497
2025-08-04,662.24,688.12,643.73,682.78,3331906
2025-08-05,676.48,678.955,636.56,641.94,1870328
2025-08-06,647.01,647.25,623.4,624.19,816454
2025-08-07,629.74,650.5,628.81,650.06,798814
2025-08-08,651.6,658.77,645.775,658.06,566279
2025-08-11,662,665.52,646.68,652.11,491869
2025-08-12,652.79,654.355,647.38,652.27,506395
2025-08-13,651.15,665.025,648.92,663.92,566491
2025-08-14,664.11,664.11,648.17,653.95,504672
2025-08-15,655.54,661.095,650.78,650.84,418115
2025-08-18,650.45,652.075,637.08,637.86,437094
2025-08-19,638,642.82,635.535,636.71,407282
2025-08-20,637.82,640.7,634.16,639.85,525228
2025-08-21,637.05,638.5346,632.57,633.05,284143
2025-08-22,635.76,648.55,634.69,645.55,352266
2025-08-25,639.33,644.13,636,641.35,395639
2025-08-26,641.35,645.53,639.745,641.72,416541
2025-08-27,642.61,647,637.6724,640.86,521480
2025-08-28,638.28,647.44,637.05,647.03,309243
2025-08-29,647.95,652,642.29,647.09,304950
2025-09-02,637.05,641.21,630.5389,639.45,440474
2025-09-03,640.99,642.01,626.243,633.95,373575
2025-09-04,637.71,642.47,629.555,640.44,440535
2025-09-05,640,649.158,630.8667,642.99,370390
2025-09-08,644.42,654.05,640.2601,652.83,460588
2025-09-09,652.83,655.77,647.785,655.6,271828
2025-09-10,652.91,653.675,631.74,637.95,389108
2025-09-11,637.14,648.295,637.14,645.16,337099
2025-09-12,639.24,644.86,625.547,641.14,317919
2025-09-15,641.73,651.33,641.73,643.99,455442
2025-09-16,640.37,648.32,635.5,645.65,404496
2025-09-17,644.59,651.05,637,640.86,444560
2025-09-18,642.53,659.17,635.94,655.51,474184
2025-09-19,659.58,661.39,648.845,656.16,981522
2025-09-22,653.17,657.11,640.275,644.1,386943
2025-09-23,640.34,649.47,640.34,648.38,351154
2025-09-24,645.12,645.12,621.3587,627.17,464493
2025-09-25,620.93,621.125,613.28,618.17,380024
2025-09-26,619.31,636,615.33,632.22,344253
2025-09-29,636.34,636.34,619,630.56,266141
2025-09-30,631.27,639.53,629.675,638.89,367469
2025-10-01,630.72,638.24,600.565,620.11,659787
2025-10-02,616.52,634.87,614.55,633.84,415770
2025-10-03,637.01,642.25,627.97,631.19,338549
2025-10-06,633.56,634.145,626.19,627.78,247743
2025-10-07,639.11,639.11,622.15,627.28,319792
2025-10-08,634.3,638.629,626.11,629.91,521378
2025-10-09,624.59,631.7886,619.945,628.75,384922
2025-10-10,628.75,628.75,615.0002,616.15,410774
2025-10-13,622.66,634.285,621.83,633.32,376965
2025-10-14,625.66,642.585,625.615,636.91,365423
2025-10-15,640.2,642.91,631.78,639.15,387084
2025-10-16,643.44,651.5,628.17,637.34,524682
2025-10-17,633.88,637.48,627.43,635.4,276999
2025-10-20,638.2,644.92,634.905,643.41,327360
2025-10-21,641.64,643,630.49,637.13,408089
2025-10-22,642.41,642.41,628.6,633.78,465451
2025-10-23,631.25,641.47,630.7,638.6,532713
2025-10-24,641.76,650.37,639.075,640.85,368181
2025-10-27,644.46,649.07,639.11,647.4,452626
2025-10-28,640.525,646,633.18,634.36,397172
2025-10-29,635.41,635.41,622.08,627.66,489964
2025-10-30,627.66,632.94,626.87,628.54,373168
2025-10-31,634.51,641.295,628.9,629.51,974387
2025-11-03,693,735,691.73,722.94,1652764
2025-11-04,717.44,726.5,706.59,722.12,680909
2025-11-05,724.36,728.9499,701.609,720.21,590823
2025-11-06,712.475,720,694,713.74,1095000
2025-11-07,710.15,716.71,700.2,708.45,409936
2025-11-10,708.06,713.034,699.845,709.59,351727
2025-11-11,710.94,718.52,709.09,712.47,291967
2025-11-12,712.47,719.25,707.53,713.56,468633
2025-11-13,709.83,715.89,698.18,701.48,473431
2025-11-14,695.92,699.66,688.66,689.93,468535
2025-11-17,689.93,697.925,666.97,669,496046
2025-11-18,670.18,681.63,665.25,670.21,574656
2025-11-19,673.75,701.74,670.21,697.1,1010481
2025-11-20,697.82,710.72,688.48,689.35,767780
2025-11-21,690.1,735.59,688.14,725.91,972621
2025-11-24,733.05,759.325,726.81,752.14,1314075
2025-11-25,751.75,769.24,750.36,766.68,660840
2025-11-26,767.81,769.98,753.61,755.96,426224
2025-11-28,756.02,757.235,748,752.88,209005
2025-12-01,741.57,746.77,727.15,728.97,805052
2025-12-02,732.4,738.33,722.29,732.73,761358
2025-12-03,738.69,739.145,724.74,725.93,505139
2025-12-04,725.56,732.03,714.17,717.47,526358
2025-12-05,720.72,722.705,710.51,714.1,386665
2025-12-08,717.47,721.5,705,706.65,411678
2025-12-09,710.41,718,698.39,699.06,409302
2025-12-10,702.19,707.455,693.72,701.83,529485
2025-12-11,700.94,716.45,696.875,707.5,417415
2025-12-12,710.46,715.19,697.26,704.2,460689
2025-12-15,711.29,711.29,695.56,700.55,571614
2025-12-16,697.51,703.71,687.6801,693.18,711702
2025-12-17,692,705.66,688.5034,695.6,473480
2025-12-18,699.26,711.68,693.37,697.1,483773
2025-12-19,694.8,705.95,689.9806,700.34,1682541
2025-12-22,701.81,705.885,695.5601,702.12,353937
2025-12-23,695.96,700,676.06,682.31,586333
2025-12-24,683.97,689.06,680.085,688.18,219352
2025-12-26,687.15,689.1,682.74,688.48,206701
2025-12-29,687.71,690.05,680.46,687.89,289007
2025-12-30,683.9,687.83,680.88,682.32,432357
2025-12-31,680.82,684.29,675.88,676.53,292303
